日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/03/01,"43,847,984","10,669,194,561",244.0,245.0,242.0,243.0,-3.0,"11,589"
107/03/02,"35,289,170","8,453,712,014",240.0,241.0,238.5,240.0,-3.0,"10,440"
107/03/05,"27,337,846","6,607,367,732",242.5,243.0,240.5,241.5,1.5,"9,321"
107/03/06,"36,945,780","9,155,812,210",245.5,250.0,245.5,250.0,8.5,"13,977"
107/03/07,"30,391,219","7,525,601,638",248.0,248.5,246.0,247.0,-3.0,"10,521"
107/03/08,"20,645,694","5,172,732,531",249.5,251.5,249.0,249.5,2.5,"8,817"
107/03/09,"22,887,063","5,723,277,170",250.0,251.0,248.5,250.5,1.0,"7,050"
107/03/12,"25,100,615","6,370,529,728",252.0,255.0,251.5,254.0,3.5,"10,550"
107/03/13,"34,264,883","8,816,553,606",255.5,259.0,255.0,259.0,5.0,"11,700"
107/03/14,"24,254,838","6,220,805,864",256.5,257.5,255.5,257.0,-2.0,"8,518"
107/03/15,"19,396,493","4,965,546,715",258.0,258.0,255.0,255.0,-2.0,"5,945"
107/03/16,"62,989,326","15,930,805,360",253.0,256.0,249.5,255.0,0.0,"18,058"
107/03/19,"22,440,766","5,679,567,964",252.5,255.5,251.0,255.0,0.0,"9,888"
107/03/20,"22,335,151","5,640,426,203",253.0,254.0,251.5,253.0,-2.0,"9,334"
107/03/21,"32,977,737","8,325,162,114",255.0,255.0,251.0,252.5,-0.5,"11,575"
107/03/22,"27,000,718","6,797,045,014",254.5,254.5,249.5,251.5,-1.0,"10,475"
107/03/23,"52,974,390","12,994,667,867",245.0,247.0,244.0,245.0,-6.5,"20,513"
107/03/26,"39,487,945","9,582,954,454",241.5,244.5,241.5,243.5,-1.5,"11,404"
107/03/27,"31,100,260","7,732,298,021",248.0,251.0,247.0,251.0,7.5,"11,698"
107/03/28,"29,924,411","7,349,468,217",247.5,248.0,244.0,245.0,-6.0,"13,041"
107/03/29,"36,427,345","8,888,435,870",243.0,247.0,242.5,244.0,-1.0,"12,832"
107/03/30,"16,996,346","4,212,690,462",247.5,249.5,246.0,246.0,2.0,"7,578"
107/03/31,"3,603,912","893,664,176",247.5,249.0,246.5,247.5,1.5,"2,409"
107/04/02,"19,029,003","4,702,581,241",248.5,249.0,245.0,246.5,-1.0,"6,951"
107/04/03,"35,813,944","8,710,200,224",243.0,244.5,242.0,244.0,-2.5,"13,270"
107/04/09,"35,465,824","8,716,801,768",248.0,248.0,243.5,245.0,1.0,"12,437"
107/04/10,"25,268,994","6,231,896,018",244.5,249.0,243.5,245.5,0.5,"11,912"
107/04/11,"21,777,935","5,391,978,180",246.5,248.5,246.5,248.0,2.5,"8,813"
107/04/12,"20,476,657","5,028,226,522",248.5,248.5,244.0,245.0,-3.0,"6,898"
107/04/13,"19,946,548","4,885,963,546",246.0,246.0,244.0,244.5,-0.5,"5,549"
107/04/16,"21,608,528","5,251,556,179",243.0,244.0,242.0,243.5,-1.0,"8,436"
